homeid,provenance,provenancedetail,energytype,date,reading
270,technician,installation_visit,electricity,2017-12-12,22400
270,technician,installation_visit,gas,2017-12-12,34041
271,technician,installation_visit,electricity,2017-12-14,22515
271,technician,installation_visit,gas,2017-12-14,6899
272,technician,installation_visit,electricity,2017-12-14,17440
272,technician,installation_visit,gas,2017-12-14,5729
273,technician,installation_visit,electricity,2017-12-14,60056
273,technician,installation_visit,gas,2017-12-14,5208
274,technician,installation_visit,electricity,2017-12-18,18750
274,technician,installation_visit,gas,2017-12-18,10865
275,technician,installation_visit,electricity,2017-12-18,31024
275,technician,installation_visit,gas,2017-12-18,9534
276,technician,installation_visit,electricity,2017-12-19,7268
276,technician,installation_visit,gas,2017-12-19,9214
277,technician,installation_visit,electricity,2017-12-19,17968
277,technician,installation_visit,gas,2017-12-19,3233
278,technician,installation_visit,electricity,2017-12-19,81317
278,technician,installation_visit,gas,2017-12-19,7842
280,technician,installation_visit,electricity,2017-12-22,72418
280,technician,installation_visit,gas,2017-12-22,17841
282,technician,installation_visit,electricity,2018-01-11,70815
282,technician,installation_visit,gas,2018-01-11,27962
283,technician,installation_visit,electricity,2018-01-12,12049
283,technician,installation_visit,gas,2018-01-12,29227
284,technician,installation_visit,electricity,2018-01-18,99623
284,technician,installation_visit,gas,2018-01-18,23218
285,technician,installation_visit,electricity,2018-01-18,37302
285,technician,installation_visit,gas,2018-01-18,18064
286,technician,installation_visit,electricity,2018-01-22,14748
286,technician,installation_visit,gas,2018-01-22,2188
287,technician,installation_visit,electricity,2018-01-31,71573
287,technician,installation_visit,gas,2018-01-31,1874
288,technician,installation_visit,electricity,2018-02-05,15226
288,technician,installation_visit,gas,2018-02-05,17856
289,technician,installation_visit,electricity,2018-02-05,68332
289,technician,installation_visit,gas,2018-02-05,12085
290,technician,installation_visit,electricity,2018-02-16,56846
290,technician,installation_visit,gas,2018-02-16,9928
291,technician,installation_visit,electricity,2018-01-25,22801
291,technician,installation_visit,gas,2018-01-25,20861
292,technician,installation_visit,electricity,2018-01-25,22348
292,technician,installation_visit,gas,2018-01-25,3037
293,technician,installation_visit,electricity,2018-02-14,320176
293,technician,installation_visit,gas,2018-02-14,4864
294,technician,installation_visit,electricity,2018-02-12,93407
294,technician,installation_visit,gas,2018-02-12,9091
295,technician,installation_visit,electricity,2018-02-16,50410
295,technician,installation_visit,gas,2018-02-16,31591
296,technician,installation_visit,electricity,2018-02-16,61070
296,technician,installation_visit,gas,2018-02-16,4682
296,technician,repair_visit,electricity,2018-04-03,61349
296,technician,repair_visit,gas,2018-04-03,4780
298,technician,installation_visit,electricity,2018-02-20,21559
298,technician,installation_visit,gas,2018-02-20,4596
299,technician,installation_visit,electricity,2018-02-20,3125
299,technician,installation_visit,gas,2018-02-20,2137
300,technician,installation_visit,electricity,2018-02-21,45774
300,technician,installation_visit,gas,2018-02-21,3757
301,technician,installation_visit,electricity,2018-02-23,56799
301,technician,installation_visit,gas,2018-02-23,5164
302,technician,installation_visit,electricity,2018-02-23,16556
302,technician,installation_visit,gas,2018-02-23,14237
303,technician,installation_visit,electricity,2018-02-26,37922
303,technician,installation_visit,gas,2018-02-26,28699
304,technician,installation_visit,electricity,2018-02-27,72168
304,technician,installation_visit,gas,2018-02-27,20701
305,technician,installation_visit,electricity,2018-03-05,80662
305,technician,installation_visit,gas,2018-03-05,10252
306,technician,installation_visit,electricity,2018-03-05,92319
306,technician,installation_visit,gas,2018-03-05,36208
307,technician,installation_visit,electricity,2018-03-06,24044
307,technician,installation_visit,gas,2018-03-06,1244
308,technician,installation_visit,electricity,2018-03-07,73964
308,technician,installation_visit,gas,2018-03-07,3803
309,technician,installation_visit,electricity,2018-03-08,77802
309,technician,installation_visit,gas,2018-03-08,6525
310,technician,installation_visit,electricity,2018-03-08,6985
310,technician,installation_visit,gas,2018-03-08,21508
311,technician,installation_visit,electricity,2018-03-12,76694
311,technician,installation_visit,gas,2018-03-12,13487
313,technician,installation_visit,electricity,2018-03-13,3085
313,technician,installation_visit,gas,2018-03-13,6869
315,technician,installation_visit,electricity,2018-03-15,42263.1
315,technician,installation_visit,gas,2018-03-15,2806
316,technician,installation_visit,electricity,2018-03-16,61151
316,technician,installation_visit,gas,2018-03-16,30011
318,technician,installation_visit,electricity,2018-03-20,37475
318,technician,installation_visit,gas,2018-03-20,8558
319,technician,installation_visit,electricity,2018-03-20,834
319,technician,installation_visit,gas,2018-03-20,28153
320,technician,installation_visit,electricity,2018-03-22,86824
320,technician,installation_visit,gas,2018-03-22,4539
321,technician,installation_visit,electricity,2018-03-23,9690
321,technician,installation_visit,gas,2018-03-23,9557
325,technician,installation_visit,electricity,2018-03-28,86387
325,technician,installation_visit,gas,2018-03-28,49750
326,technician,installation_visit,electricity,2018-03-28,63705
326,technician,installation_visit,gas,2018-03-28,2965
327,technician,installation_visit,electricity,2018-03-29,992
327,technician,installation_visit,gas,2018-03-29,4089
328,technician,installation_visit,electricity,2018-04-03,25209
328,technician,installation_visit,gas,2018-04-03,810
329,technician,installation_visit,electricity,2018-04-09,17292
329,technician,installation_visit,gas,2018-04-09,3367
330,technician,installation_visit,electricity,2018-04-10,78876
330,technician,installation_visit,gas,2018-04-10,34134
331,technician,installation_visit,electricity,2018-04-12,52400
331,technician,installation_visit,gas,2018-04-12,22500
332,technician,installation_visit,electricity,2018-04-19,9150
332,technician,installation_visit,gas,2018-04-19,5158
333,technician,installation_visit,electricity,2018-04-30,38120
333,technician,installation_visit,gas,2018-04-30,1229
334,technician,installation_visit,electricity,2018-04-30,1567
334,technician,installation_visit,gas,2018-04-30,19980
335,technician,installation_visit,electricity,2018-04-30,9972
335,technician,installation_visit,gas,2018-04-30,15266
62,625,all_inapp_meters_mid,electricity,2017-12-14,42885
62,625,all_inapp_meters_mid,gas,2017-12-14,7149
63,631,all_inapp_meters_mid,electricity,2017-12-13,1109
63,631,all_inapp_meters_mid,gas,2017-12-13,15975
65,633,all_inapp_meters_mid,electricity,2017-12-07,16143
65,633,all_inapp_meters_mid,gas,2017-12-07,11998
65,633,all_web_end,electricity,2018-06-17,17932
65,633,all_web_end,gas,2018-06-17,12637
66,637,all_web_end,electricity,2018-06-29,96483
66,637,all_web_end,gas,2018-06-29,18664
66,638,all_inapp_meters_mid,electricity,2017-12-07,95347
66,638,all_inapp_meters_mid,gas,2017-12-07,18032
70,641,all_web_end,electricity,2018-05-26,8507
70,641,all_web_end,gas,2018-05-26,2725
72,651,all_inapp_meters_mid,electricity,2017-12-11,3633
72,651,all_inapp_meters_mid,gas,2017-12-11,7150
72,651,all_web_end,electricity,2018-05-27,4371
72,651,all_web_end,gas,2018-05-27,7290
74,653,all_web_end,electricity,2018-06-13,80892
74,653,all_web_end,gas,2018-06-13,9300
75,649,all_inapp_meters_mid,electricity,2017-12-12,30457
75,649,all_inapp_meters_mid,gas,2017-12-12,7139
78,664,all_web_end,electricity,2018-05-23,61591
78,664,all_web_end,gas,2018-05-23,2521
79,661,all_web_end,electricity,2018-06-12,30166
79,661,all_web_end,gas,2018-06-12,5316
81,668,all_inapp_meters_mid,electricity,2017-12-07,47947
81,668,all_inapp_meters_mid,gas,2017-12-07,16622
81,668,all_web_end,electricity,2018-05-24,50012
81,668,all_web_end,gas,2018-05-24,18049
83,670,all_web_end,electricity,2018-05-28,23974
83,670,all_web_end,gas,2018-05-28,11843
86,682,all_web_end,electricity,2018-06-01,35468
86,682,all_web_end,gas,2018-06-01,8803
88,681,all_inapp_meters_mid,electricity,2017-12-14,65042
88,681,all_web_end,electricity,2018-05-23,65001
88,681,all_web_end,gas,2018-05-23,5135
90,685,all_inapp_meters_mid,electricity,2017-12-13,42920
90,685,all_inapp_meters_mid,gas,2017-12-13,1993
90,685,all_web_end,electricity,2018-06-01,62540
93,692,all_web_end,electricity,2018-06-14,6248
93,692,all_web_end,gas,2018-06-14,7927
94,696,all_web_end,electricity,2018-05-25,11401
94,696,all_web_end,gas,2018-05-25,5463
99,710,all_web_end,electricity,2018-06-06,7675
99,710,all_web_end,gas,2018-06-06,4249
101,714,all_inapp_meters_mid,electricity,2017-12-09,45922
101,714,all_inapp_meters_mid,gas,2017-12-09,3147
101,714,all_web_end,electricity,2018-05-25,46296
101,714,all_web_end,gas,2018-05-25,3277
106,723,all_web_end,electricity,2018-06-15,20851
106,723,all_web_end,gas,2018-06-15,3509
109,724,all_inapp_meters_mid,electricity,2017-12-13,3330
109,724,all_inapp_meters_mid,gas,2017-12-13,9458
113,757,all_inapp_meters_mid,electricity,2017-12-13,6993
113,757,all_inapp_meters_mid,gas,2017-12-13,340953
114,741,all_web_end,electricity,2018-06-04,7620
114,741,all_web_end,gas,2018-06-04,5330
117,756,all_inapp_meters_mid,electricity,2017-12-10,91265
117,756,all_inapp_meters_mid,gas,2017-12-10,13124
117,756,all_web_end,electricity,2018-05-26,92353
117,756,all_web_end,gas,2018-05-26,13575
120,749,all_inapp_meters_mid,electricity,2017-12-13,7025674
120,749,all_inapp_meters_mid,gas,2017-12-13,534443
120,749,all_web_end,electricity,2018-06-13,11186
120,749,all_web_end,gas,2018-06-13,5551
121,750,all_web_end,electricity,2018-05-25,10250
121,750,all_web_end,gas,2018-05-25,4350
126,752,all_web_end,electricity,2018-06-12,83956
126,752,all_web_end,gas,2018-06-12,13218
128,773,all_inapp_meters_mid,electricity,2017-12-11,59442
128,773,all_inapp_meters_mid,gas,2017-12-11,9766
128,773,all_web_end,electricity,2018-06-27,60103
128,773,all_web_end,gas,2018-06-27,10217
136,782,all_web_end,electricity,2018-05-25,15213
136,782,all_web_end,gas,2018-05-25,15468
138,787,all_web_end,electricity,2018-05-24,20192
138,787,all_web_end,gas,2018-05-24,23500
139,792,all_inapp_meters_mid,electricity,2017-12-14,23554
139,792,all_inapp_meters_mid,gas,2017-12-14,1891
146,805,all_inapp_meters_mid,electricity,2017-12-14,54685.64
146,805,all_inapp_meters_mid,gas,2017-12-14,7918797
146,805,all_web_end,electricity,2018-05-23,58432
146,805,all_web_end,gas,2018-05-23,81846
149,815,all_inapp_meters_mid,electricity,2017-12-09,67717
149,815,all_inapp_meters_mid,gas,2017-12-09,38846
149,815,all_web_end,electricity,2018-06-12,68944
149,815,all_web_end,gas,2018-06-12,4027642
150,817,all_inapp_meters_mid,electricity,2017-12-13,89431
150,817,all_inapp_meters_mid,gas,2017-12-13,11777
150,817,all_web_end,electricity,2018-05-23,90091.67
150,817,all_web_end,gas,2018-05-23,12049.163
151,820,all_inapp_meters_mid,electricity,2017-12-14,75401
151,820,all_inapp_meters_mid,gas,2017-12-14,5670
151,820,all_web_end,electricity,2018-06-03,77194
151,820,all_web_end,gas,2018-06-03,6335
153,824,all_inapp_meters_mid,electricity,2017-12-09,19985
153,824,all_inapp_meters_mid,gas,2017-12-09,19630
153,824,all_web_end,electricity,2018-05-28,20759
153,824,all_web_end,gas,2018-05-28,19923
155,826,all_inapp_meters_mid,electricity,2017-12-07,37164
155,826,all_inapp_meters_mid,gas,2017-12-07,21759
155,826,all_web_end,electricity,2018-05-28,38415
